requirements-schema-compliance-officer|1|Mara Voss|requirements schema compliance;W6H completeness;example mapping readiness|Does the requirements document follow the required output schema and section order exactly, including Problem Statement, W6H, Example Mapping, Acceptance Criteria, Out Of Scope, and Open Questions?;Are W6H and example-mapping entries concrete enough for design work without downstream inference?;Are acceptance criteria behavior-focused and free of implementation task leakage?|missing required schema sections or unsupported front-matter fields;approved status despite absent W6H or example mapping;implementation-plan decisions embedded in requirements
zfc-role-neutrality-guardian|1|Alistair Sterling|zero hardcoded roles;Core role neutrality;dog configurability;SDK self-sufficiency|Does any requirement introduce role-conditional logic or hardcoded role assumptions into Core assets or Go business logic?;Is the default dog maintenance agent specified as replaceable pack configuration rather than a Go-side exception?;Can SDK infrastructure still operate with only the controller and Core config, without assuming Gastown agents exist?|Core assets or Go code retain Gastown role names outside migration docs or absence tests;dog becomes special-cased in Go rather than user-supplied config;infrastructure behavior depends on a specific configured role existing
gastown-behavior-preservation-auditor|1|Oleg Marchetti|Gastown behavior preservation;before-after inventory;trigger and notification continuity|Does every generalized Core asset have a corresponding external Gastown home for stripped role-specific behavior?;Does the before-and-after inventory cover formulas, orders, scripts, prompts, template variables, and notification paths rather than only file moves?;What artifact proves supported Gastown workflows still resolve and trigger after the split?|Gastown behavior is stripped from Core with no equivalent in gascity-packs/gastown;the migration map omits side-effecting scripts, triggers, or notification paths;equivalence is asserted without verifiable before-and-after evidence
pack-resolution-architect|1|Priya Menon|required Core loading;pack registry;import resolution;legacy import retirement|How does Core become the canonical required runtime pack across init, doctor, CLI load, and runtime resolution?;Are implicit Maintenance and in-tree examples/gastown imports explicitly retired while gc init --template gastown imports gascity-packs/gastown?;What is the deterministic resolution order when Core, Gastown, bd, and dolt all participate?|multiple Core source-of-truth paths remain active;pack resolution falls back to in-tree examples/gastown/packs or implicit Maintenance;required Core behavior is inconsistent between init, doctor, and runtime load
embed-materialization-build-reviewer|1|Petra Novak|builtinpacks registry;embed path migration;Maintenance retirement;downstream references|When Core moves to its canonical embedded location, are all importers, embed.go files, registry entries, hook code, and generation commands updated together?;Does builtin materialization stop embedding and auto-including retired Maintenance while still materializing Core, bd, and dolt correctly?;Are downstream references to moved Maintenance scripts repointed to Core homes without dangling paths?|stale bootstrap or embed paths break compilation or runtime materialization;builtin materialization still auto-includes Maintenance after retirement;examples, dolt helpers, or hooks retain dangling references to moved scripts
migration-rollout-reviewer|1|Camille Okafor|existing-city upgrade;legacy local paths;compatibility shims;version skew|For an existing city referencing packs/maintenance or packs/gastown local paths, what exact migration steps and diagnostics does the requirement demand?;Is any compatibility shim or grace behavior scoped and sequenced so pinned or in-flight references degrade gracefully?;How does the rollout handle public pack pinning, intermediate two-repo states, rollback, and operator repair expectations?|legacy-path cities fail hard with no actionable migration instruction;compatibility shims become permanent alternate sources of truth;public pack versions drift or require a flag-day multi-repo release
doctor-diagnostics-safety-reviewer|1|Faisal Khoury|doctor diagnostics;import-state warnings;safe remediation;operator messaging|When resolved config lacks Core or references retired paths, does the diagnostic identify the exact source and explain why Core is required?;Is any offered fix safe, idempotent, and concrete rather than merely advisory prose?;Do doctor and import-state messages consistently distinguish required Core from optional Gastown and retired Maintenance?|diagnostics are generic and do not identify the offending config source;fix commands mutate custom config unsafely or are not actually wired;messages keep saying Maintenance is implicit or blur required and optional pack behavior
asset-classification-split-reviewer|1|Hugo Bautista|asset ownership classification;split assets;review-marked decisions;file-by-file migration table|Does the requirement define complete ownership for Core, Gastown, split, retired, and review-marked assets at file-by-file granularity?;For split assets such as dispatch skills, maintenance docs, architecture fragments, following-mol, command glossary, and TDD discipline content, is each resulting Core and Gastown output explicit?;Are review-marked assets resolved before downstream implementation depends on them?|large asset buckets are moved wholesale without behavior-based classification;specific review-marked assets remain unresolved;the migration table omits rationale or leaves orphaned duplicated behavior
test-strategy-ci-reviewer|1|Mira Acharya|invariant tests;absence scans;regression harnesses;acceptance traceability|Does each acceptance criterion map to a concrete unit, integration, command, or absence-test proof?;Are tests added or rewritten to fail if Core reintroduces Gastown role names while allowing documented migration exceptions and configurable dog defaults?;Are legacy Maintenance auto-inclusion tests rewritten to cover required Core plus explicit external Gastown imports?|role-neutrality and behavior-preservation invariants rely on reviewer vigilance;legacy tests still assert implicit Maintenance inclusion;tests check only file presence instead of loaded behavior, resolution, or triggerability
external-pack-docs-reviewer|1|Simone Kaye|external Gastown pack authority;registry behavior;source-tree cleanliness;documentation consistency|Does the requirement make gascity-packs/gastown the authoritative source for Gastown behavior, templates, overlays, and workflow checks?;Will no maintained pack source remain under examples/gastown/packs, and do docs and tutorials stop presenting retired locations as authoritative?;Are public registry behavior, template imports, and operator-facing terminology consistent across docs, CLI messages, and examples?|external Gastown pack work is omitted while examples remain authoritative;documentation points operators at retired Maintenance or examples paths;template or registry behavior works locally but fails from public pack resolution
